"Address3","County (name)","CloseDate","EstablishmentName","EstablishmentNumber","OpenDate","EstablishmentStatus (name)","Gender (name)","HeadFirstName","HeadHonours","HeadLastName","HeadPreferredJobTitle","HeadTitle (name)","LastChangedDate","LA (name)","LA (code)","Locality","Postcode","PreviousEstablishmentNumber","PreviousLA (name)","PreviousLA (code)","ReasonEstablishmentClosed (name)","ReasonEstablishmentOpened (name)","StatutoryHighAge","StatutoryLowAge","Street","TelephoneNum","TelephoneSTD","Town","TypeOfEstablishment (name)","UKPRN","URN","WebsiteAddress","OfficialSixthForm (name)","FEHEIdentifier","FurtherEducationType (name)","PhaseOfEducation (name)","AdmissionsPolicy (name)","Boarders (name)","BoardingEstablishment (name)","Diocese (name)","OfstedLastInsp","PercentageFSM","RegisteredEY (name)","ReligiousCharacter (name)","SchoolCapacity","MainSpecialism2 (name)","SecondarySpecialism2 (name)","Trusts (name)","TrustSchoolFlag (name)","Federations (name)","FederationFlag (name)","SchoolSponsors (name)","SchoolSponsorFlag (name)","StudioSchoolIndicator (name)","GSSLACode (name)","ASCHighestAge","ASCLowestAge","Boys2","Boys3","Boys4a","Boys4b","Boys4c","Boys5","Boys6","Boys7","Boys8","Boys9","Boys10","Boys11","Boys12","Boys13","Boys14","Boys15","Boys16","Boys17","Boys18","Boys19plus","CensusDate","Girls2andUnder","Girls3","Girls4a","Girls4b","Girls4c","Girls5","Girls6","Girls7","Girls8","Girls9","Girls10","Girls11","Girls12","Girls13","Girls14","Girls15","Girls16","Girls17","Girls18","Girls19plus","NumberOfBoys","NumberOfGirls","NumberOfPupils","AdministrativeWard (name)","GOR (name)","LLSC (name)","LSOA (name)","MSOA (name)","ParliamentaryConstituency (name)","UrbanRural (name)","Easting","Northing","MainSpecialism1 (name)","SecondarySpecialism1 (name)","FreshStart (name)","HP_Leading_Option_1 (name)","HP_Leading_Option_2 (name)","HP_Leading_Option_3 (name)","InvestorInPeople (name)","OfstedSpecialMeasures (name)","PFI (name)","SpecialClasses (name)","TeenMothPlaces","TeenMoth (name)","ApprovedNumberBoardersSpecial","SpecialPupils","CCF (name)","FTProv (name)","EdByOther (name)","EBD (name)","SENPRU (name)","SEN1 (name)","SEN2 (name)","SEN3 (name)","Section41Approved (name)"
"","Buckinghamshire","","Sir Thomas Fremantle School",4005,"02-09-2013","Open","Mixed","Darren","","Lyons","","Mr","07-08-2014","Buckinghamshire","825","Winslow","MK18 3DL","","","999","","New Provision",18,11,"Park Road","713127","01296","","Free Schools",10041670,139663,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","3.6","","None",420,"","","Sir Thomas Fremantle School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000002",13,11,"0","0","0","0","0","0","0","0","0","0","0","33","17","x","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","44","15","0","0","0","0","0","0","0","50","60","111","Winslow","South East","","Aylesbury Vale 005D","Aylesbury Vale 005","Buckingham","Town and Fringe - less sparse",476855,228088,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Kent","","Wye School",4007,"03-09-2013","Open","Mixed","Janet","","Naylor","","Ms","07-08-2014","Kent","886","","TN25 5EJ","","","999","","New Provision",18,11,"Olantigh Road","8094744","0844","Wye","Free Schools",10041669,139664,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","6.7","","None",600,"","","United Learning Trust","Linked to a multi-academy trust","","Not applicable","United Learning","Linked to a sponsor","Not applicable","E10000016",11,11,"0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","0","0","0","0","0","45","45","90","Wye","South East","","Ashford 001E","Ashford 001","Ashford","Town and Fringe - less sparse",605615,146915,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Norfolk","","Thetford Alternative Provision Free School",1112,"02-09-2013","Open","Mixed","Jan","","Dobben","Headteacher","","12-11-2014","Norfolk","926","","IP24 3LH","","","999","","New Provision",16,11,"Staniforth Road","752756","01842","Thetford","Free Schools - Alternative Provision",10041668,139665,"www.thetfordfreeschool.co.uk","Does not have a sixth form","","","Not applicable","Not applicable","Not applicable","","","","81.8","","None",40,"","","Alternative Provision Free School Thetford Limited","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000020",15,11,"0","0","0","0","0","0","0","0","0","0","0","x","x","0","5","4","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","11","Thetford-Saxon","East of England","","Breckland 017D","Breckland 017","South West Norfolk","Urban > 10k - less sparse",586580,282044,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Devon","","Devon Studio School",4002,"02-09-2013","Open","Mixed","Katherine","","Davis Wills","","Ms","07-08-2014","Torbay","880","","TQ2 7AD","","","999","","New Provision",19,14,"Newton Road","00380701","080","Torquay","Studio Schools",10041667,139666,"","Has a sixth form","","","Secondary","Comprehensive","","","","","12.8","","None",300,"","","Devon Studio School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000027",17,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","x","6","x","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","8","30","5","0","0","15","75","89","Shiphay-with-the-Willows","South West","","Torbay 003F","Torbay 003","Torbay","Urban > 10k - less sparse",289802,66120,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Warwickshire","","The Midland Studio College Nuneaton",4001,"02-09-2013","Open","Mixed","Dan","","Rosser","","Mr","07-08-2014","Warwickshire","937","Bermuda Park","CV10 7SD","","","999","","New Provision",19,14,"St David's Way","76243460","024","Nuneaton","Studio Schools",10041693,139667,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","19","","Does not apply",300,"","","Midland Academies Trust, The","Linked to a multi-academy trust","","Not applicable","The Midland Academies Trust","Linked to a sponsor","Not applicable","E10000031",17,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","x","3","3","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27","x","0","0","0","0","40","30","69","Arbury","West Midlands","","Nuneaton and Bedworth 008C","Nuneaton and Bedworth 008","Nuneaton","Urban > 10k - less sparse",435617,288903,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"Runcton","West Sussex","","Chichester Free School",4006,"09-09-2013","Open","Mixed","Guy","Ba & Bsc Hons Ma Med","Martyn","","Mr","07-08-2014","West Sussex","938","","PO20 1QH","","","999","","New Provision",19,4,"The Courtyard, Vinnetrow Road","850544","01243","Chichester","Free Schools",10041694,139668,"","Has a sixth form","","","All Through","Comprehensive","Not applicable","","","","6.3","","None",1260,"Not applicable","Not applicable","Sussex Educational Trust Limited","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000032",13,4,"0","0","8","5","14","12","0","18","0","0","0","30","13","x","0","0","0","0","0","0","16-01-2014","0","0","5","14","14","18","0","11","x","0","0","27","13","3","0","0","0","0","0","0","100","105","208","North Mundham","South East","","Chichester 012C","Chichester 012","Chichester","Village - less sparse",488079,103425,"Not applicable","Not applicable","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Bristol Technology and Engineering Academy",4001,"02-09-2013","Open","Mixed","Rhian","","Priest","","Ms","16-02-2015","South Gloucestershire","803","Stoke Gifford","BS34 8SF","","","999","","New Provision",19,14,"New Road","3125000","0117","Bristol","University Technical College",10041695,139669,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","12.5","","None",440,"","","Bristol and South Gloucestershire UTC","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E06000025",17,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","115","x","56","x","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","x","0","0","0","175","15","187","Frenchay and Stoke Park","South West","","South Gloucestershire 017B","South Gloucestershire 017","Filton and Bradley Stoke","Urban > 10k - less sparse",361681,179303,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Midlands","","Reach School",1107,"02-09-2013","Open","Mixed","Nicola","","Redhead","","Miss","02-01-2015","Birmingham","330","Kings Heath","B14 7BB","","","999","","New Provision",16,13,"11-15 High Street","6758989","0121","Birmingham","Free Schools - Alternative Provision",10041710,139671,"","Does not have a sixth form","","","Not applicable","Not applicable","Not applicable","","","","39.6","","Does not apply",64,"","","Reach Free School Trust, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000025",15,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","19","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","15","0","0","0","0","25","25","48","Moseley and Kings Heath","West Midlands","","Birmingham 092D","Birmingham 092","Birmingham, Hall Green","Urban > 10k - less sparse",407408,282216,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Haberdashers' Aske's Hatcham Temple Grove Free School",2001,"02-09-2013","Open","Mixed","Bobby","","Woodruff","","Ms","07-08-2014","Lewisham","209","","SE14 5SF","","","999","","New Provision",11,4,"Pepys Road","76529500","020","London","Free Schools",10041711,139672,"","Does not have a sixth form","","","Primary","Not applicable","Not applicable","","","","8.3","","None",420,"","","Haberdashers' Aske's Federation Trust","Linked to a multi-academy trust","","Not applicable","Haberdashers' Aske's Federation (HAFT)","Linked to a sponsor","Not applicable","E09000023",4,4,"0","0","9","9","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","10","5","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","30","60","Telegraph Hill","London","","Lewisham 010C","Lewisham 010","Lewisham, Deptford","Urban > 10k - less sparse",536014,176078,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Mosaic Jewish Primary School",2001,"02-09-2013","Open","Mixed","Kate","","Baum","","Mrs","21-10-2014","Wandsworth","212","Wimbledon","SW19 5QD","","","999","","New Provision",11,4,"Queensmere Road","89448731","020","London","Free Schools",10041712,139687,"","Does not have a sixth form","","","Primary","Not applicable","Not applicable","","","","x","","Jewish",420,"","","South London Jewish Primary School","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E09000032",4,4,"0","0","8","x","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","x","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","21","West Hill","London","","Wandsworth 028D","Wandsworth 028","Putney","Urban > 10k - less sparse",523569,172616,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Yorkshire","","Khalsa Science Academy",2011,"02-09-2013","Open","Mixed","Brendan","","English","Principal","Mr","01-09-2014","Leeds","383","Chapeltown","LS7 4HZ","","","999","","New Provision",11,4,"192a Chapeltown Road","8873680","0113","Leeds","Free Schools",10041713,139688,"www.khalsascienceacademy.org.uk","Does not have a sixth form","","","Primary","Not applicable","Not applicable","","","","0","","None",210,"","","Khalsa Education Trust","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000035",4,4,"0","0","5","x","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","x","3","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","5","18","Chapel Allerton","Yorkshire and the Humber","","Leeds 042A","Leeds 042","Leeds North East","Urban > 10k - less sparse",430897,436306,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","East Sussex","","Rye Studio School",4001,"02-09-2013","Open","Mixed","","","Townshend","","Ms","07-08-2014","East Sussex","845","","TN31 7NQ","","","999","","New Provision",19,14,"The Grove","222545","01797","Rye","Studio Schools",10041709,139689,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","15.6","","None",300,"","","Rye Academy Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E10000011",17,13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","14","9","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","x","18","x","23","7","0","0","35","50","85","Rye","South East","","Rother 004C","Rother 004","Hastings and Rye","Town and Fringe - less sparse",591952,120844,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Northamptonshire","","Silverstone UTC",4011,"02-09-2013","Open","Mixed","Neil","","Patterson","","Mr","07-08-2014","Northamptonshire","928","","NN12 8TL","","","999","","New Provision",19,14,"Silverstone Circuit","855010","01327","Towcester","University Technical College",10041717,139690,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","14.5","","None",576,"","","Silverstone Academy Trust, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000021",17,14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","0","33","8","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","10","x","0","0","140","20","162","Silverstone","East Midlands","","South Northamptonshire 007B","South Northamptonshire 007","South Northamptonshire","Town and Fringe - less sparse",467106,242295,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","County Durham","","Marchbank Free School",7000,"04-09-2013","Open","Mixed","Mandy","","Southwick","Principal","Ms","07-08-2014","Darlington","841","Barnes Road","DL3 9BL",2007,"","999","","New Provision",11,4,"Mowden Hall","254670","01325","Darlington","Free Schools Special",10041718,139691,"www.educationvillage.org.uk","Does not have a sixth form","","","Not applicable","Not applicable","No Boarders","","","","72.2","","None",30,"","","Education Village Academy Trust, The","Linked to a multi-academy trust","","Not applicable","The Education Village Academy Trust","Linked to a sponsor","Not applicable","E06000005",10,5,"0","0","0","0","0","0","0","x","3","5","8","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","x","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","x","18","Mowden","North East","","Darlington 011D","Darlington 011","Darlington","Urban > 10k - less sparse",426506,515249,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","South Yorkshire","","UTC Sheffield",4004,"02-09-2013","Open","Mixed","Nick","","Crew","","Mr","07-08-2014","Sheffield","373","","S1 4QF","","","999","","New Provision",19,14,"111 Matilda Street","2603970","0114","Sheffield","University Technical College",10041720,139695,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","13.8","","None",600,"","","Sheffield UTC Academy Trust, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000019",17,13,"0","0","0","0","0","0","0","0","0","0","0","0","0","x","84","5","82","14","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","x","17","0","9","0","0","0","185","25","214","Central","Yorkshire and the Humber","","Sheffield 042C","Sheffield 042","Sheffield Central","Urban > 10k - less sparse",435465,386618,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Kent","","The Wells Free School",2025,"02-09-2013","Open","Mixed","Anita","","Lawrence","","Mrs","07-08-2014","Kent","886","","TN4 8AT","","","999","","New Provision",11,4,"Mount Ephraim","739075","01892","Tunbridge Wells","Free Schools",10041721,139696,"","Does not have a sixth form","","","Primary","Not applicable","Not applicable","","","","5.8","","None",168,"","","Wells Free School, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000016",6,4,"0","0","9","x","5","14","8","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","3","3","11","15","0","0","0","0","0","0","0","0","0","0","0","0","0","40","30","70","Culverden","South East","","Tunbridge Wells 008A","Tunbridge Wells 008","Tunbridge Wells","Urban > 10k - less sparse",558195,139786,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Kent","","Hadlow Rural Community School",4009,"02-09-2013","Open","Mixed","Paul","","Boxall","","Mr","07-08-2014","Kent","886","Hadlow","TN11 0AN","","","999","","New Provision",16,11,"Ashes Lane","853241","01732","","Free Schools",10041646,139697,"www.hrcschool.org","Does not have a sixth form","","","Secondary","Comprehensive","Not applicable","","","","9.3","","None",330,"","","Hadlow Rural Community School Limited","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000016",15,11,"0","0","0","0","0","0","0","0","0","0","0","27","5","0","11","x","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","22","3","0","6","0","0","0","0","0","45","30","75","Hadlow, Mereworth and West Peckham","South East","","Tonbridge and Malling 008C","Tonbridge and Malling 008","Tonbridge and Malling","Hamlet and Isolated Dwelling - less sparse",562427,149508,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Nishkam School West London",4002,"09-09-2013","Open","Mixed","Terry","","Green","","Mr","16-02-2015","Hounslow","313","Isleworth","TW7 5AJ","","","999","","New Provision",19,4,"390 London Road","31418760","020","London","Free Schools",10042000,139720,"","Has a sixth form","","","All Through","Not applicable","Not applicable","","","","9.9","","Sikh",478,"","","Nishkam School Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E09000018",5,4,"0","0","12","7","8","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","7","5","11","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","45","91","Syon","London","","Hounslow 014C","Hounslow 014","Brentford and Isleworth","Urban > 10k - less sparse",516068,176649,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Middlesex","","William Perkin Church of England High School",4000,"02-09-2013","Open","Mixed","Keir","","Smith","Headteacher","","16-02-2015","Ealing","307","Greenford","UB6 8PR","","","999","","New Provision",18,11,"Oldfield Lane North","33013181","020","","Free Schools",10042036,139725,"","Has a sixth form","","","Secondary","Comprehensive","Not applicable","","","","10.4","","Church of England",1450,"","","Twyford Church of England Academies Trust","Linked to a multi-academy trust","","Not applicable","Diocese of London","Linked to a sponsor","Not applicable","E09000009",11,11,"0","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","87","0","0","0","0","0","0","0","0","95","85","182","Greenford Green","London","","Ealing 006D","Ealing 006","Ealing North","Urban > 10k - less sparse",514590,183346,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Berkshire","","Thames Valley School",7000,"02-09-2013","Open","Mixed","Gary","","Simm","Principal","Mr","07-04-2015","Reading","870","","RG30 4BZ","","","999","","New Provision",16,4,"Conwy Close","9424750","0118","Reading","Free Schools Special",10042038,139728,"","Does not have a sixth form","","","Not applicable","Not applicable","Not applicable","","","","37.5","","None",50,"","","NAS Academies Trust, The","Linked to a multi-academy trust","","Not applicable","National Autistic Society","Linked to a sponsor","Not applicable","E06000038",13,6,"0","0","0","0","0","0","x","0","x","x","x","6","3","x","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","x","0","0","0","0","0","0","0","0","15","x","16","Tilehurst","South East","","Reading 009C","Reading 009","Reading West","Urban > 10k - less sparse",467603,172963,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"Benwell","Tyne and Wear","","West Newcastle Academy",2019,"02-09-2013","Open","Mixed","Susan","","Percy","","Miss","07-08-2014","Newcastle upon Tyne","391","Atkinson Road","NE4 8XT","","","999","","New Provision",11,4,"Benwell Nature Park","2739477","0191","Newcastle-upon-Tyne","Free Schools",10042039,139729,"www.westnewcastleacademy.org","Does not have a sixth form","","","Primary","Not applicable","No Boarders","","","","38.5","","",196,"","","West Newcastle Academy","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E08000021",4,4,"0","0","x","8","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","26","Benwell and Scotswood","North East","","Newcastle upon Tyne 027C","Newcastle upon Tyne 027","Newcastle upon Tyne Central","Urban > 10k - less sparse",421648,563857,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Greater Manchester","","Connell Sixth Form College",4003,"02-09-2013","Open","Mixed","Gillian","","Winter","Principal","Mrs","16-01-2015","Manchester","352","","M11 3BS","","","999","","New Provision",19,16,"301 Alan Turing Way","2319200","0161","Manchester","Free Schools - 16-19",10042041,139730,"www.connellsixthformcollege.com","Has a sixth form","","","16 Plus","Not applicable","No Boarders","","","","0","","None",600,"","","Bright Futures Educational Trust","Linked to a multi-academy trust","","Not applicable","Bright Futures Educational Trust","Linked to a sponsor","Not applicable","E08000003",18,16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","x","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","x","0","0","20","20","39","Bradford","North West","","Manchester 015D","Manchester 015","Manchester Central","Urban > 10k - less sparse",387308,397994,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","West Midlands","","St Georges Academy",1108,"02-09-2013","Open","Mixed","Nicola","","Hutchison","","Mrs","20-01-2015","Birmingham","330","Great Hampton Row","B19 3JG","","","999","","New Provision",16,13,"St George's Community Hub","2124567","0121","Birmingham","Free Schools - Alternative Provision",10042043,139731,"","Does not have a sixth form","","","Not applicable","Not applicable","No Boarders","","","","50","","None",110,"","","Titan Partnership Trust Limited, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000025",15,13,"0","0","0","0","0","0","0","0","0","0","0","0","0","x","3","x","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","x","3","7","0","0","0","0","5","10","18","Aston","West Midlands","","Birmingham 050C","Birmingham 050","Birmingham, Ladywood","Urban > 10k - less sparse",406560,288056,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Suffolk","","Churchill Special Free School",7009,"02-09-2013","Open","Mixed","Georgina","","Ellis","","Mrs","30-12-2014","Suffolk","935","","CB9 0LD","","","999","","New Provision",18,8,"Chalkstone Way","760338","01440","Haverhill","Free Schools Special",10042046,139732,"www.churchillschool.co.uk","Has a sixth form","","","Not applicable","Not applicable","No Boarders","","","","21.4","","None",70,"","","Samuel Ward Academy Trust","Linked to a multi-academy trust","","Not applicable","Samuel Ward Academy Trust","Linked to a sponsor","Not applicable","E10000029",15,10,"0","0","0","0","0","0","0","0","0","0","5","3","x","x","x","x","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","x","0","0","0","x","0","0","0","0","0","10","x","14","Haverhill East","East of England","","St Edmundsbury 014D","St Edmundsbury 014","West Suffolk","Urban > 10k - less sparse",567770,246274,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","ASD - Autistic Spectrum Disorder","SLCN - Speech, language and Communication","","Not applicable"
"","West Yorkshire","","Leeds Jewish Free School",4066,"02-09-2013","Open","Mixed","Jeremy","","Dunford","","Mr","07-08-2014","Leeds","383","","LS17 7TN","","","999","","New Provision",18,11,"","2930578","0113","Wentworth Avenue","Free Schools",10042063,139773,"","Has a sixth form","","","Secondary","Comprehensive","No Boarders","","","","x","","Jewish",175,"","","Leeds Jewish Free School, The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E08000035",11,11,"0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","x","0","0","0","0","0","0","0","0","5","x","8","Alwoodley","Yorkshire and the Humber","","Leeds 018A","Leeds 018","Leeds North East","Urban > 10k - less sparse",430072,439816,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","Lincolnshire","","Acorn Free School",1106,"02-09-2013","Open","Mixed","Jerry","","Tucker","","Mr","07-08-2014","Lincolnshire","925","Brant Road","LN5 9TL","","","999","","New Provision",16,11,"248 Calder Road","721537","01522","Lincoln","Free Schools - Alternative Provision",10042062,139774,"","Does not have a sixth form","","","Not applicable","Not applicable","No Boarders","","","","0","","Does not apply",48,"","","Acorn EBS Free School Ltd., The","Linked to a trust/single academy trust","","Not applicable","","-","Not applicable","E10000019",13,12,"0","0","0","0","0","0","0","0","0","0","0","0","x","x","0","0","0","0","0","0","16-01-2014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","x","0","x","Bracebridge","East Midlands","","Lincoln 011B","Lincoln 011","Lincoln","Urban > 10k - less sparse",496315,366745,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
"","","","Rutherford House School",2002,"02-09-2013","Open","Mixed","Gina","","Thomson","Headteacher","","12-11-2014","Wandsworth","212","Balham","SW17 7BS","","","999","","New Provision",11,4,"217 Balham High Road","2577040","0845","London","Free Schools",10042061,139775,"","Not applicable","","","Primary","Not applicable","Not applicable","","","","7.1","","None",416,"","","Bellevue Place Education Trust","Linked to a multi-academy trust","","Not applicable","","-","Not applicable","E09000032",4,4,"0","0","11","x","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16-01-2014","0","0","10","10","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","30","56","Bedford","London","","Wandsworth 030B","Wandsworth 030","Tooting","Urban > 10k - less sparse",528313,172732,"","","Not applicable","","","","Uninvolved at present","Not in special measures","Not part of PFI","Not applicable","","Not applicable","","","","","","Not applicable","Not applicable","","","","Not applicable"
